UWI,FM_TOP,PERF,DEPTH,GR,PEF,SP,CALX,CALI,RHOB,DPSS,NPSS,DRHO,ILD,ILM,SFL,DT,TOP_U,BASE_U,THICK_U,DEPTH_AVE_U,KMAX,K90,KV,COREPHI,GD,BD,"RSO
","RSW
",LITHOLOGY,PLUG NUMBER,Phi*H,Kmax/K90,Kvert/K90,RQI,NormPhi,FZI,Binned FZI,Fractured
100042700505W400,,,91.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,91.2,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,91.3,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,91.4,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,91.5,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,91.6,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,91.7,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,91.8,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,91.9,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92,64.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.1,63.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.2,62.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.3,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.4,61.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.5,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.6,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.7,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.8,66.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,92.9,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93,68.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.1,69.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.2,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.3,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.4,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.5,67.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.6,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.7,67.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.8,67.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,93.9,67.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.1,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.2,68.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.3,69.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.4,70.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.5,71.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.6,70.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.7,69.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.8,67.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,94.9,66.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95,65.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.1,64.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.2,65.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.3,65.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.4,65.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.5,65.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.6,65.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.7,64.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.8,64.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,95.9,63.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96,62.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.1,61.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.2,60.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.4,59.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.5,59.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.6,58.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.7,57.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.8,56.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,96.9,56.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97,56.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.1,55.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.2,55.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.3,55.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.4,55.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.5,55.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.6,54.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.7,53.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.8,53.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,97.9,52.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98,52.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.1,52.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.2,52.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.3,52.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.4,52.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.5,52.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.6,52.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.7,53.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.8,54.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,98.9,56.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99,59.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.1,61.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.2,63.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.3,64.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.4,65.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.5,66.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.6,65.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.7,64.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.8,62.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,99.9,61.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100,60.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.1,59.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.2,58.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.3,57.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.4,56.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.5,55.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.6,54.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.7,54.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.8,54.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,100.9,53.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101,54.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.1,54.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.2,54.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.3,54.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.4,53.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.5,53.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.6,52.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.7,51.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.8,50.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,101.9,48.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100042700505W400,,,102,47.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
