GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,Binned_FZI_PS
46.32,-39.5,212.37,2378.71,0.31,4.24,4.24,5.89,4
46.9,-42.0,212.85,2378.71,0.31,4.61,4.65,6.44,2
55.67,-48.6,210.07,2405.0,0.36,6.26,6.38,7.16,4
56.26,-50.4,206.31,2425.5,0.35,6.59,6.84,7.2,2
56.96,-67.49,204.46,2312.5,0.25,14.71,19.37,19.28,4
48.1,-71.17,204.44,2269.5,0.25,15.69,21.24,24.72,4
30.89,-76.72,204.61,2203.03,0.26,18.76,27.61,52.09,4
49.52,-78.11,204.81,2201.01,0.27,21.14,29.05,69.92,4
49.51,-78.6,205.03,2201.01,0.28,21.93,29.32,68.66,4
44.55,-80.0,205.0,2222.22,0.28,22.55,29.05,50.92,4
40.1,-79.8,205.25,2237.88,0.27,21.33,28.39,39.1,4
43.07,-78.6,205.5,2262.5,0.25,19.02,25.53,34.41,4
43.66,-76.5,205.5,2296.5,0.24,16.07,22.55,30.0,4
42.03,-71.5,205.75,2337.0,0.24,14.47,19.46,23.83,2
52.8,-65.7,206.0,2378.22,0.25,13.39,15.35,19.46,2
55.65,-57.43,206.25,2434.5,0.26,11.84,12.97,13.57,2
46.32,-39.5,212.37,2378.71,0.31,4.24,4.24,5.89,4
46.9,-42.0,212.85,2378.71,0.31,4.61,4.65,6.44,2
55.67,-48.6,210.07,2405.0,0.36,6.26,6.38,7.16,4
56.26,-50.4,206.31,2425.5,0.35,6.59,6.84,7.2,2
56.96,-67.49,204.46,2312.5,0.25,14.71,19.37,19.28,4
48.1,-71.17,204.44,2269.5,0.25,15.69,21.24,24.72,4
30.89,-76.72,204.61,2203.03,0.26,18.76,27.61,52.09,4
49.52,-78.11,204.81,2201.01,0.27,21.14,29.05,69.92,4
49.51,-78.6,205.03,2201.01,0.28,21.93,29.32,68.66,4
44.55,-80.0,205.0,2222.22,0.28,22.55,29.05,50.92,4
40.1,-79.8,205.25,2237.88,0.27,21.33,28.39,39.1,4
43.07,-78.6,205.5,2262.5,0.25,19.02,25.53,34.41,4
43.66,-76.5,205.5,2296.5,0.24,16.07,22.55,30.0,4
42.03,-71.5,205.75,2337.0,0.24,14.47,19.46,23.83,2
52.8,-65.7,206.0,2378.22,0.25,13.39,15.35,19.46,2
55.65,-57.43,206.25,2434.5,0.26,11.84,12.97,13.57,2
59.03,-39.86,227.51,2502.74,0.29,9.35,9.94,8.73,4
54.23,-40.48,224.3,2491.74,0.3,10.51,11.03,9.86,4
56.35,-40.31,224.07,2499.96,0.3,11.33,11.7,9.65,4
62.43,-40.37,224.67,2515.93,0.3,12.23,12.6,10.41,4
66.65,-41.4,224.26,2547.6,0.29,13.14,13.61,11.43,4
67.29,-43.36,223.72,2549.93,0.28,14.41,14.9,12.11,4
62.12,-52.23,222.31,2492.14,0.27,18.77,19.93,14.53,4
54.43,-63.21,220.09,2443.54,0.26,22.27,24.73,21.23,4
48.62,-68.83,218.6,2418.17,0.25,24.04,26.41,26.64,3
44.15,-73.32,217.1,2408.71,0.26,26.4,27.14,25.87,4
53.99,-69.44,217.69,2417.54,0.29,25.35,25.01,20.18,4
53.88,-66.92,213.93,2426.63,0.29,23.09,23.37,20.52,4
53.47,-65.18,212.4,2451.71,0.26,21.77,22.3,20.13,4
55.2,-62.33,216.37,2466.28,0.26,19.7,19.74,18.19,4
62.97,-64.91,218.24,2444.15,0.26,17.57,17.48,15.47,3
58.47,-69.27,219.08,2418.66,0.26,16.84,16.99,15.61,3
54.96,-70.33,218.99,2410.06,0.26,16.75,17.02,15.9,4
56.16,-67.48,218.02,2405.41,0.26,17.09,17.54,16.05,4
53.6,-63.54,217.7,2401.92,0.27,17.36,17.88,16.31,4
51.48,-58.02,217.43,2415.89,0.28,17.03,17.21,16.49,4
54.53,-54.59,219.03,2421.25,0.28,16.09,15.79,14.58,4
62.83,-52.41,220.75,2407.47,0.28,15.11,15.02,13.75,4
