SP,RHOB,NPSS,FZI_CALC,log_GR,log_CALX,log_ILD
-39.5,2378.71,0.31,2.21,3.83557383326474,5.358330036454207,1.4445632692438664
-42.0,2378.71,0.31,0.64,3.8480176754522337,5.360587692274161,1.5282278570085572
-48.6,2405.0,0.36,4.04,4.019441402195416,5.347440808507589,1.8341801851120072
-50.4,2425.5,0.35,0.5,4.029983803061711,5.329379891999855,1.8855533485144158
-67.49,2312.5,0.25,3.24,4.04234926710372,5.320372357328868,2.688527534613346
-71.17,2269.5,0.25,2.3,3.8732821771117156,5.320274533900079,2.753023566744941
-76.72,2203.03,0.26,9.07,3.43043250693049,5.321105728178468,2.9317269435780786
-78.11,2201.01,0.27,7.83,3.9023766283763406,5.322082720098298,3.051166980442092
-78.6,2201.01,0.28,4.62,3.9021746693733315,5.323156309894955,3.0878555624297968
-80.0,2222.22,0.28,3.08,3.796612153916818,5.3230099791384085,3.1157350659486873
-79.8,2237.88,0.27,6.37,3.6913763343125234,5.324228748332538,3.0601145324832593
-78.6,2262.5,0.25,5.73,3.7628266990660193,5.32544603393629,2.9454910571172443
-76.5,2296.5,0.24,2.81,3.7764323511217976,5.32544603393629,2.776954179749421
-71.5,2337.0,0.24,0.69,3.7383836490170252,5.326661839557179,2.6720775406433925
-65.7,2378.22,0.25,0.37,3.966511190712216,5.327876168789581,2.5945081597030812
-57.43,2434.5,0.26,0.27,4.019082077721554,5.32908902521479,2.4714836294558595
-39.5,2378.71,0.31,2.21,3.83557383326474,5.358330036454207,1.4445632692438664
-42.0,2378.71,0.31,0.64,3.8480176754522337,5.360587692274161,1.5282278570085572
-48.6,2405.0,0.36,4.04,4.019441402195416,5.347440808507589,1.8341801851120072
-50.4,2425.5,0.35,0.5,4.029983803061711,5.329379891999855,1.8855533485144158
-67.49,2312.5,0.25,3.24,4.04234926710372,5.320372357328868,2.688527534613346
-71.17,2269.5,0.25,2.3,3.8732821771117156,5.320274533900079,2.753023566744941
-76.72,2203.03,0.26,9.07,3.43043250693049,5.321105728178468,2.9317269435780786
-78.11,2201.01,0.27,7.83,3.9023766283763406,5.322082720098298,3.051166980442092
-78.6,2201.01,0.28,4.62,3.9021746693733315,5.323156309894955,3.0878555624297968
-80.0,2222.22,0.28,3.08,3.796612153916818,5.3230099791384085,3.1157350659486873
-79.8,2237.88,0.27,6.37,3.6913763343125234,5.324228748332538,3.0601145324832593
-78.6,2262.5,0.25,5.73,3.7628266990660193,5.32544603393629,2.9454910571172443
-76.5,2296.5,0.24,2.81,3.7764323511217976,5.32544603393629,2.776954179749421
-71.5,2337.0,0.24,0.69,3.7383836490170252,5.326661839557179,2.6720775406433925
-65.7,2378.22,0.25,0.37,3.966511190712216,5.327876168789581,2.5945081597030812
-57.43,2434.5,0.26,0.27,4.019082077721554,5.32908902521479,2.4714836294558595
-39.86,2502.74,0.29,3.11,4.078045789252598,5.427194193468923,2.2353763433005955
-40.48,2491.74,0.3,4.21,3.993234260852969,5.412984441526163,2.3523271848888596
-40.31,2499.96,0.3,3.91,4.031582240485785,5.411958503037085,2.427454075039915
-40.37,2515.93,0.3,2.03,4.134045929073653,5.414632658929385,2.503891949699081
-41.4,2547.6,0.29,12.53,4.199455046624718,5.412806093032734,2.5756610130564646
-43.36,2549.93,0.28,3.42,4.209011637200227,5.410395269953387,2.667922410011431
-52.23,2492.14,0.27,6.64,4.129067998280486,5.4040728042139,2.9322598505984176
-63.21,2443.54,0.26,3.5,3.9969154724461085,5.394036553606581,3.1032404812692764
-68.83,2418.17,0.25,1.8,3.884034968887977,5.387243575742438,3.179719109667007
-73.32,2408.71,0.26,5.82,3.787592927049969,5.380358076884246,3.2733640101522705
-69.44,2417.54,0.29,7.04,3.9887988442301956,5.383072032412845,3.232778730037192
-66.92,2426.63,0.29,6.26,3.986759351542163,5.3656488587083215,3.139399623366404
-65.18,2451.71,0.26,2.56,3.97912074896064,5.358471289367784,3.080532875246456
-62.33,2466.28,0.26,3.0,4.01096295328305,5.376989905199339,2.9806186357439426
-64.91,2444.15,0.26,1.96,4.142658422500651,5.3855953746550975,2.866192902199006
-69.27,2418.66,0.26,1.06,4.068513802187579,5.38943695991552,2.8237570088141806
-70.33,2410.06,0.26,2.07,4.006605647914094,5.389026066673499,2.8183982582710754
-67.48,2405.41,0.26,2.84,4.028204759717555,5.3845868017002125,2.8384934971274993
-63.54,2401.92,0.27,3.84,3.9815490680767565,5.3831179682405015,2.854168709232204
-58.02,2415.89,0.28,8.15,3.941193382727926,5.381876959646967,2.834976494674597
-54.59,2421.25,0.28,2.72,3.9987510089379703,5.389208706736104,2.7781979610042917
-52.41,2407.47,0.28,3.24,4.140432666414855,5.39703083948407,2.715356776284648
-52.57,2398.44,0.27,2.25,4.221270855794487,5.393354781882788,2.6775909936175015
-55.62,2393.7,0.29,2.09,4.312542571143296,5.382842321617725,2.6224923127405635
-52.65,2396.54,0.29,1.58,4.54403918598386,5.3855037282269524,2.60638654732571
-50.93,2406.97,0.28,2.33,4.592793914920036,5.386190871798276,2.5855058483441162
-47.16,2399.26,0.28,1.7,4.405010471064257,5.390942125653859,2.5603232890727545
-45.55,2380.21,0.31,2.01,4.330470147759479,5.393172897560715,2.522523513359307
-47.71,2378.95,0.3,3.28,4.340553386467307,5.384311559714898,2.4907230351094403
-48.63,2385.11,0.29,1.55,4.3528552573736015,5.378421610789698,2.4672517145492794
-45.12,2397.26,0.3,1.03,4.352469082431556,5.386969064142599,2.412335956953165
-43.08,2389.96,0.3,1.75,4.341595188879544,5.385824453986271,2.347558458636777
-41.98,2385.51,0.29,2.4,4.363608049149864,5.387152080248527,2.300583090323373
-41.76,2391.55,0.31,2.14,4.4298639640880415,5.3893456648956,2.286455711064162
-43.13,2398.21,0.28,1.76,4.405376883282097,5.390440655423842,2.309560706730471
-48.38,2395.19,0.29,3.36,4.285102653392156,5.387152080248527,2.3608540011180215
-48.03,2390.61,0.28,4.49,4.288127958229824,5.381002733166644,2.365559892155434
-45.99,2384.99,0.28,0.96,4.37248122183035,5.376111393988057,2.334083760053417
-44.34,2385.81,0.28,2.72,4.423648309364701,5.374722697750442,2.3045830956567186
-44.66,2394.65,0.31,1.71,4.399498115585886,5.3745837220014865,2.280339484046726
-44.95,2405.28,0.28,1.58,4.404766121643371,5.380035592832894,2.278292400425001
-45.82,2405.67,0.28,1.48,4.411949448325136,5.3811868443703315,2.2823823856765264
-45.39,2409.14,0.29,1.16,4.368434681154414,5.381738974687109,2.265921108622454
-43.27,2402.54,0.29,3.85,4.394819456472634,5.38408213350883,2.2321626286975
-41.26,2403.78,0.3,2.42,4.43366986782572,5.38541207339897,2.179286876649552
-41.0,2411.05,0.3,0.35,4.445236148071766,5.385961876400083,2.1656192379208883
-42.16,2418.69,0.3,0.37,4.451086170605376,5.3845868017002125,2.169053700369523
-44.19,2414.12,0.3,0.51,4.413161863604593,5.3813249055316446,2.179286876649552
-44.68,2410.73,0.29,0.71,4.364753306003425,5.3841739103077195,2.191653532286764
-52.28,2586.5,0.27,0.49,3.9335887833427066,5.276327348656421,2.225704048658088
-61.2,2528.47,0.25,0.49,3.8981269002360346,5.276327348656421,2.7414849771884473
-65.19,2500.37,0.24,0.51,3.8854736701946093,5.276327348656421,2.7414849771884473
-68.76,2471.12,0.24,0.43,3.981362483506759,5.2758161012015234,2.7414849771884473
-70.34,2455.02,0.25,0.54,4.061476958596484,5.275304592238964,2.73696154459663
-73.92,2454.01,0.26,0.51,4.308245532169378,5.275304592238964,2.7232671669070703
-76.9,2468.51,0.28,0.6,4.499809670330265,5.275304592238964,2.7140322727797574
-82.28,2449.0,0.29,0.6,4.535498512738772,5.275304592238964,2.6953026282797072
-86.14,2421.5,0.28,0.77,4.437934266612178,5.275304592238964,2.6905648867611904
-88.52,2396.01,0.27,0.85,4.283034685466931,5.275304592238964,2.681021528714291
-89.7,2385.02,0.27,0.73,4.20797082229696,5.275304592238964,2.6803363625346943
-90.9,2367.5,0.31,0.78,4.147885329150131,5.275304592238964,2.6796507265805123
-90.9,2315.35,0.32,0.43,3.9130225057612296,5.276327348656421,2.6837575085331657
-74.0,2446.15,0.28,0.76,4.214347354616797,5.275304592238964,2.7985001040242823
-77.1,2450.02,0.29,0.62,4.218772140597153,5.275304592238964,2.8535925063928684
-85.35,2309.0,0.32,2.78,3.9678360702473587,5.275304592238964,3.0281994636914926
-87.22,2238.46,0.32,1.73,3.6157709822932977,5.275304592238964,3.0969341540629585
-84.23,2254.0,0.32,2.37,3.654805473780185,5.275304592238964,3.0096351787229825
-72.48,2348.04,0.28,0.29,4.066459358732565,5.275304592238964,2.8581928595319295
-60.8,2531.0,0.26,0.35,4.362461479179042,5.275304592238964,2.7479117345273405
-52.97,2542.0,0.3,0.16,4.49647076906475,5.275304592238964,2.637627736805664
-56.24,2478.42,0.3,3.46,4.339249605317823,5.275304592238964,2.671386216730619
-63.3,2449.82,0.29,0.7,4.227563406008323,5.274280788719795,2.6993457604720636
-70.1,2422.22,0.28,3.03,4.08446256236765,5.275304592238964,2.740194654428777
-76.73,2405.58,0.28,2.23,4.074311908471865,5.275304592238964,2.800325477211381
-78.91,2307.96,0.3,0.29,3.7932394694381792,5.274280788719795,2.818995095053937
-81.0,2293.5,0.31,0.81,3.7864597824528,5.274280788719795,2.8148097376737438
-84.0,2314.87,0.31,1.33,3.873697891106478,5.274280788719795,2.8160073426073025
-86.8,2325.51,0.29,1.7,3.9394436010041383,5.276327348656421,2.9041650800285006
-86.2,2284.94,0.3,1.46,3.945070859474346,5.275304592238964,2.972975286431375
-78.91,2328.51,0.28,0.93,4.027848570933736,5.27734906011184,2.776954179749421
-64.8,2442.27,0.3,0.92,4.4607222816222185,5.27734906011184,2.5626389983283526
-61.3,2462.09,0.32,0.6,4.6862892372728835,5.28942797270212,2.343727036325221
-64.5,2269.63,0.31,0.77,4.0428758138469085,5.300639667917604,2.658159431488745
-64.95,2268.14,0.31,3.73,3.9589065913269965,5.300639667917604,2.6946271807700692
-64.95,2289.65,0.3,2.59,3.8948768465931756,5.300639667917604,2.731115474033206
-63.75,2324.92,0.29,1.88,3.7970609869584644,5.300639667917604,2.7631695003232895
-63.0,2346.22,0.28,1.12,3.7669972333778885,5.300639667917604,2.7631695003232895
-60.75,2414.56,0.28,1.54,3.8084386891715756,5.300639667917604,2.7498317351171653
-60.9,2418.53,0.29,0.81,3.8192496052757914,5.300639667917604,2.731115474033206
-61.2,2427.45,0.3,0.86,3.8249388985210326,5.300639667917604,2.7219531062712017
-61.8,2384.24,0.31,3.7,3.8308129500026027,5.300639667917604,2.717340248009303
-62.55,2354.75,0.31,3.12,3.846951008684431,5.300639667917604,2.7219531062712017
-63.3,2432.46,0.29,1.54,3.9516282600205055,5.300639667917604,2.7356653681351832
-64.35,2430.99,0.3,1.89,3.9899095440852173,5.300639667917604,2.740194654428777
-66.0,2402.78,0.3,2.35,3.994708372046754,5.300639667917604,2.740194654428777
-67.35,2374.32,0.3,1.95,3.9994842811981406,5.300639667917604,2.740194654428777
-68.55,2353.83,0.29,1.38,3.9604321446358335,5.300639667917604,2.740194654428777
-68.85,2353.84,0.29,2.2,3.9197927426925068,5.300639667917604,2.731115474033206
-68.85,2363.35,0.3,0.46,3.8869103046130706,5.300639667917604,2.7219531062712017
-65.25,2413.24,0.3,0.28,3.8334126048462345,5.300639667917604,2.6946271807700692
-56.96,2421.22,0.33,0.1,4.011144096295953,5.300639667917604,2.640484881606444
-55.73,2400.44,0.33,3.11,4.058544658090914,5.300639667917604,2.6275629501895237
-55.72,2387.96,0.33,0.15,4.080583646972063,5.300639667917604,2.6275629501895237
-7.29,2284.67,0.28,3.21,3.5019472847622986,5.32242444189127,3.1402654242862895
-7.31,2280.23,0.27,2.09,3.4968105458651015,5.3138461681656635,3.1419947805322432
-7.11,2284.08,0.27,1.46,3.4974162394026984,5.312614671248861,3.120159851929043
-8.38,2310.34,0.27,4.53,3.569250966658405,5.323643924494045,3.062923523094314
-11.53,2332.41,0.26,4.17,3.561897992353146,5.296465653184562,2.984671326194566
-12.17,2329.02,0.27,3.12,3.459466289786131,5.2949617427346745,2.968361076757859
-11.44,2315.66,0.28,5.6,3.3575937441800234,5.295463297565131,2.942331496826876
-9.47,2290.38,0.28,4.64,3.5097527882165007,5.290839476692078,3.000222178826843
-11.81,2261.77,0.28,3.49,3.5776685247779345,5.281578042543739,3.038312721089109
-12.18,2284.88,0.29,8.78,3.4622924810219664,5.2810694731384835,3.0483247236731614
-13.97,2302.45,0.27,1.61,3.6375861597263857,5.280560644958777,3.012097627640255
-11.79,2303.2,0.27,2.35,3.6378492830011573,5.2911920416054485,2.9590682891823996
-12.32,2312.43,0.27,1.69,3.608482517041907,5.2949617427346745,2.9231615807191558
-12.11,2313.42,0.27,1.45,3.5773890780805733,5.290033146960339,2.9025198918318122
-9.76,2358.09,0.27,0.66,4.136445738240736,5.296716085181063,2.6946271807700692
-7.21,2409.75,0.29,1.28,4.23642266081509,5.294459936220732,2.6290069937617573
11.52,2415.28,0.3,0.88,4.506233438128068,5.309998871321874,2.4898941912990393
16.32,2405.57,0.3,1.12,4.662967284714308,5.313501501873077,2.4965057856313524
20.63,2398.81,0.31,1.17,4.684905154006945,5.314633531032973,2.509599262378372
22.43,2397.54,0.32,1.14,4.591172676344238,5.310986769648699,2.498973906999436
47.68,2390.4,0.23,1.3,3.8418151103846494,5.287913432832644,1.4279160358107101
34.09,2428.86,0.21,1.07,3.8666071418976635,5.286143565616328,1.8961194845522977
23.92,2449.38,0.21,1.3,3.827553848801696,5.279898781024019,2.3693087250369538
15.16,2461.07,0.2,1.22,3.8342776568032932,5.278216694841034,2.8678989020441064
13.58,2442.31,0.19,0.53,3.7739097032985116,5.276071757600717,2.9412760877579323
12.79,2418.23,0.2,0.66,3.630720539940404,5.278930652747847,2.922085733385692
10.99,2401.33,0.22,0.58,3.522234376704989,5.272948275197495,2.872999508171694
11.37,2349.11,0.21,4.14,3.6615082573178044,5.278573737511425,2.8622008809294686
11.28,2345.54,0.21,1.0,3.7201358437644907,5.281323790171466,2.847232265235547
13.7,2422.98,0.25,0.55,3.8577779905757503,5.286143565616328,2.757475084429733
18.16,2471.97,0.26,0.26,3.858411235979497,5.285080139766016,2.6762154775821916
19.91,2481.61,0.25,0.41,3.8044377947482086,5.288166015491662,2.60859812213055
19.31,2474.58,0.25,0.75,3.8006444174447567,5.28269598564508,2.5900171341906173
19.19,2458.46,0.23,0.54,3.7764323511217976,5.283356001407877,2.6769034721053733
14.6,2418.5,0.21,0.85,3.6490985841020915,5.279287440641231,2.848391685655282
12.5,2401.0,0.21,0.21,3.503152104185149,5.280611539429104,2.926382195419198
10.58,2374.46,0.19,1.64,3.3439213138424253,5.280916851867869,3.044998514856909
8.79,2339.68,0.18,5.2,3.0525850851467737,5.280662431309316,3.2744997286161976
7.63,2311.37,0.19,5.12,3.058237478905388,5.283406753812282,3.583796677660784
6.27,2305.23,0.22,4.96,3.2296179214001026,5.284776095981369,3.976873977747762
5.35,2271.03,0.24,0.56,3.4008639927609177,5.28269598564508,4.22814675151123
4.91,2208.26,0.24,3.26,3.623540612805596,5.27918551423201,4.237145360853772
3.77,2282.4,0.21,2.94,3.940416079929364,5.299167005502614,4.143769445549624
2.57,2337.32,0.21,0.54,3.9158158036668422,5.298217361547703,4.05126307251965
1.73,2319.93,0.23,1.49,3.805995600782616,5.296465653184562,3.374168709274236
-1.66,2296.4,0.24,1.77,4.283586561860629,5.301163312997955,3.067122269640664
-11.19,2327.72,0.23,0.13,4.146146060785364,5.300165657405654,2.9801108926510342
-16.08,2380.57,0.21,0.56,3.9304521408965134,5.299816242671772,2.9454910571172443
-12.28,2410.38,0.22,3.79,3.8019849002192085,5.299516647123519,2.9785861147190205
0.77,2293.07,0.25,2.4,3.4249139082794713,5.293053536872938,3.5254777821724925
4.91,2262.53,0.26,1.89,3.3304171996011083,5.289276621895888,3.9304521408965134
8.72,2250.85,0.23,1.73,3.1793030497483774,5.292047753534441,4.06474409244581
11.48,2241.79,0.25,2.86,3.1871787381249463,5.287458623213161,4.059407992341204
23.22,2293.38,0.25,4.84,3.8709926558701544,5.287913432832644,3.4317265866969784
27.28,2367.6,0.23,2.7,3.802654468372781,5.294359544693693,3.1346242724206097
24.68,2417.95,0.24,3.12,3.9023766283763406,5.294359544693693,2.9231615807191558
29.03,2404.2,0.28,1.5,4.046553898385752,5.294710870953925,2.712706012638404
33.93,2398.59,0.28,2.6,3.802654468372781,5.298217361547703,2.6932749155200555
31.39,2382.71,0.29,3.92,3.627535823872884,5.297467005093198,2.6546494243750947
35.54,2379.16,0.26,2.27,3.8245024078986507,5.296816240421769,2.6762154775821916
37.94,2411.51,0.26,5.42,4.074991833706286,5.298217361547703,2.689886230474539
39.55,2420.27,0.28,2.13,4.445118797839864,5.294710870953925,2.63834278867739
45.64,2423.39,0.28,1.02,4.6773047837472905,5.296465653184562,2.5779415157551897
40.89,2386.76,0.3,1.27,4.020518601581445,5.299516647123519,2.462149662665384
42.38,2362.89,0.29,2.89,3.802877558167348,5.298217361547703,2.5087859235779435
37.55,2319.4,0.27,2.76,3.574029612434994,5.297116645971518,2.6905648867611904
-16.49,2414.0,0.3,0.62,3.911822985425479,5.267239410977175,1.6845453849209058
-17.02,2460.0,0.23,0.54,3.799078246412012,5.267239410977175,1.8531680973566984
-22.02,2514.0,0.18,0.66,3.566429294357372,5.267239410977175,2.0955609235597192
-32.04,2450.0,0.21,0.53,3.238286218388024,5.258796608385754,2.1329823086078656
-48.29,2356.0,0.27,0.89,3.2519236789144013,5.243068892317559,2.0706530356467567
-55.29,2328.0,0.3,1.83,3.40552135314221,5.243068892317559,2.065596134857783
-59.04,2322.0,0.29,0.4,3.5242995787961386,5.243068892317559,2.0769384114617173
-58.41,2307.9,0.28,0.81,3.5729072778615154,5.243068892317559,2.299580583973747
-54.91,2304.0,0.28,2.92,3.5821290841670557,5.243068892317559,2.4176979000945504
-53.66,2282.0,0.27,1.49,3.561897992353146,5.243068892317559,2.565718292524414
-53.04,2266.0,0.27,3.33,3.507057772361633,5.243068892317559,2.6878474937846906
-53.54,2238.0,0.28,4.6,3.4840054928494704,5.243068892317559,2.8425810940598164
-53.62,2238.0,0.29,1.08,3.4898185733156835,5.243068892317559,2.8361502037295256
-53.74,2236.0,0.3,0.66,3.6065842113871063,5.243068892317559,2.830267833826459
-53.35,2245.0,0.3,2.86,3.921180943212912,5.243068892317559,2.803360380906535
-52.91,2256.0,0.3,1.92,3.9824814690767076,5.243068892317559,2.7738379416402132
-51.04,2282.0,0.3,1.82,4.193284510077004,5.243068892317559,2.740840023925201
-49.04,2233.95,0.31,0.43,4.845682031463393,5.243068892317559,2.6973262377392344
-46.67,2187.9,0.34,1.2,5.111204349017951,5.243068892317559,2.647592232065096
-44.92,2201.95,0.34,0.9,5.168322569931849,5.243068892317559,2.5974910105351463
-30.79,2316.0,0.3,2.22,4.434500481934585,5.243068892317559,2.3841650799864684
-25.79,2358.0,0.26,0.45,4.103304303593573,5.253581472706645,2.2502386126218363
-20.54,2372.0,0.28,4.05,4.049695810553219,5.260096153727839,2.172476407647025
-16.42,2371.95,0.34,0.77,4.425445255041403,5.255566429480404,1.9459101490553132
-14.55,2353.9,0.39,3.18,4.61719756620081,5.259472582724469,1.840549633397487
68.92,2308.41,0.34,5.04,3.9386649363745674,5.310591727423425,0.7975071958841882
64.08,2336.48,0.24,1.84,3.9854593235013285,5.315321965363861,1.1216775615991057
59.36,2367.44,0.22,1.87,3.9648051908671156,5.31679558779381,1.6253112615903906
52.95,2364.58,0.23,1.9,4.0163830207523885,5.32544603393629,2.330200260027019
41.89,2341.86,0.23,8.19,3.8778455536265595,5.326904823399949,2.5384474167160302
35.6,2318.48,0.24,3.86,3.887320392787774,5.324569737692102,2.601207105484161
32.92,2306.4,0.26,3.81,3.956613888756021,5.32222918659435,2.663052835171474
29.85,2305.98,0.27,3.93,3.9736823858148735,5.3138461681656635,2.740194654428777
29.22,2323.05,0.27,2.44,3.914021008090819,5.297567085157333,2.7447035187502458
30.66,2327.99,0.28,2.83,3.9180050771056933,5.297567085157333,2.7206373166076814
31.12,2318.58,0.29,3.04,3.8842406244156944,5.2934053221870165,2.6953026282797072
31.38,2318.07,0.28,3.37,3.8210036070409776,5.282899113819656,2.7226103524335397
31.29,2330.83,0.28,2.32,3.6995720836526793,5.265019081146522,2.702702594775615
28.56,2313.51,0.27,2.34,3.782142084573626,5.268888555857225,2.6946271807700692
28.67,2314.32,0.28,1.03,3.733135545368474,5.2578598889167605,2.703372611551099
29.15,2319.45,0.26,2.53,3.9102213834815176,5.250753949616427,2.6720775406433925
26.65,2299.38,0.27,2.11,3.94681083091381,5.236335574192156,2.658859956911438
24.04,2251.03,0.28,1.48,3.9454577815143836,5.22294705952326,2.643333886382519
22.13,2198.22,0.29,1.95,3.8891637112820634,5.235643772019978,2.6232182655855123
20.04,2233.4,0.28,1.4,3.883623530906448,5.261912684654237,2.604909442182697
17.69,2301.83,0.27,1.5,3.8693242508950307,5.279338399950234,2.6078614738467776
19.57,2288.42,0.26,3.9,3.9078141606540915,5.291091321456297,2.6304489550786583
24.26,2346.54,0.27,2.5,3.849721979230767,5.300564839088516,2.6275629501895237
30.65,2381.56,0.27,9.45,4.111529386976201,5.314731907816132,2.6239436918052106
40.26,2343.3,0.27,2.25,4.46843366241462,5.312368189770696,2.620311286794203
42.4,2325.68,0.31,3.26,4.388381400311889,5.310888023721889,2.579458966729223
