GR,SP,CALX,RHOB,NPSS,ILD,FZI_CALC
46.32,-39.5,212.37,2378.71,0.31,4.24,2.21
46.9,-42.0,212.85,2378.71,0.31,4.61,0.64
55.67,-48.6,210.07,2405.0,0.36,6.26,4.04
56.26,-50.4,206.31,2425.5,0.35,6.59,0.5
56.96,-67.49,204.46,2312.5,0.25,14.71,3.24
48.1,-71.17,204.44,2269.5,0.25,15.69,2.3
30.89,-76.72,204.61,2203.03,0.26,18.76,9.07
49.52,-78.11,204.81,2201.01,0.27,21.14,7.83
49.51,-78.6,205.03,2201.01,0.28,21.93,4.62
44.55,-80.0,205.0,2222.22,0.28,22.55,3.08
40.1,-79.8,205.25,2237.88,0.27,21.33,6.37
43.07,-78.6,205.5,2262.5,0.25,19.02,5.73
43.66,-76.5,205.5,2296.5,0.24,16.07,2.81
42.03,-71.5,205.75,2337.0,0.24,14.47,0.69
52.8,-65.7,206.0,2378.22,0.25,13.39,0.37
55.65,-57.43,206.25,2434.5,0.26,11.84,0.27
46.32,-39.5,212.37,2378.71,0.31,4.24,2.21
46.9,-42.0,212.85,2378.71,0.31,4.61,0.64
55.67,-48.6,210.07,2405.0,0.36,6.26,4.04
56.26,-50.4,206.31,2425.5,0.35,6.59,0.5
56.96,-67.49,204.46,2312.5,0.25,14.71,3.24
48.1,-71.17,204.44,2269.5,0.25,15.69,2.3
30.89,-76.72,204.61,2203.03,0.26,18.76,9.07
49.52,-78.11,204.81,2201.01,0.27,21.14,7.83
49.51,-78.6,205.03,2201.01,0.28,21.93,4.62
44.55,-80.0,205.0,2222.22,0.28,22.55,3.08
40.1,-79.8,205.25,2237.88,0.27,21.33,6.37
43.07,-78.6,205.5,2262.5,0.25,19.02,5.73
43.66,-76.5,205.5,2296.5,0.24,16.07,2.81
42.03,-71.5,205.75,2337.0,0.24,14.47,0.69
52.8,-65.7,206.0,2378.22,0.25,13.39,0.37
55.65,-57.43,206.25,2434.5,0.26,11.84,0.27
59.03,-39.86,227.51,2502.74,0.29,9.35,3.11
54.23,-40.48,224.3,2491.74,0.3,10.51,4.21
56.35,-40.31,224.07,2499.96,0.3,11.33,3.91
62.43,-40.37,224.67,2515.93,0.3,12.23,2.03
66.65,-41.4,224.26,2547.6,0.29,13.14,12.53
67.29,-43.36,223.72,2549.93,0.28,14.41,3.42
62.12,-52.23,222.31,2492.14,0.27,18.77,6.64
54.43,-63.21,220.09,2443.54,0.26,22.27,3.5
48.62,-68.83,218.6,2418.17,0.25,24.04,1.8
44.15,-73.32,217.1,2408.71,0.26,26.4,5.82
53.99,-69.44,217.69,2417.54,0.29,25.35,7.04
53.88,-66.92,213.93,2426.63,0.29,23.09,6.26
53.47,-65.18,212.4,2451.71,0.26,21.77,2.56
55.2,-62.33,216.37,2466.28,0.26,19.7,3.0
62.97,-64.91,218.24,2444.15,0.26,17.57,1.96
58.47,-69.27,219.08,2418.66,0.26,16.84,1.06
54.96,-70.33,218.99,2410.06,0.26,16.75,2.07
56.16,-67.48,218.02,2405.41,0.26,17.09,2.84
53.6,-63.54,217.7,2401.92,0.27,17.36,3.84
51.48,-58.02,217.43,2415.89,0.28,17.03,8.15
54.53,-54.59,219.03,2421.25,0.28,16.09,2.72
62.83,-52.41,220.75,2407.47,0.28,15.11,3.24
68.12,-52.57,219.94,2398.44,0.27,14.55,2.25
74.63,-55.62,217.64,2393.7,0.29,13.77,2.09
94.07,-52.65,218.22,2396.54,0.29,13.55,1.58
98.77,-50.93,218.37,2406.97,0.28,13.27,2.33
81.86,-47.16,219.41,2399.26,0.28,12.94,1.7
75.98,-45.55,219.9,2380.21,0.31,12.46,2.01
76.75,-47.71,217.96,2378.95,0.3,12.07,3.28
77.7,-48.63,216.68,2385.11,0.29,11.79,1.55
77.67,-45.12,218.54,2397.26,0.3,11.16,1.03
76.83,-43.08,218.29,2389.96,0.3,10.46,1.75
78.54,-41.98,218.58,2385.51,0.29,9.98,2.4
83.92,-41.76,219.06,2391.55,0.31,9.84,2.14
81.89,-43.13,219.3,2398.21,0.28,10.07,1.76
72.61,-48.38,218.58,2395.19,0.29,10.6,3.36
72.83,-48.03,217.24,2390.61,0.28,10.65,4.49
79.24,-45.99,216.18,2384.99,0.28,10.32,0.96
83.4,-44.34,215.88,2385.81,0.28,10.02,2.72
81.41,-44.66,215.85,2394.65,0.31,9.78,1.71
81.84,-44.95,217.03,2405.28,0.28,9.76,1.58
82.43,-45.82,217.28,2405.67,0.28,9.8,1.48
78.92,-45.39,217.4,2409.14,0.29,9.64,1.16
81.03,-43.27,217.91,2402.54,0.29,9.32,3.85
84.24,-41.26,218.2,2403.78,0.3,8.84,2.42
85.22,-41.0,218.32,2411.05,0.3,8.72,0.35
85.72,-42.16,218.02,2418.69,0.3,8.75,0.37
82.53,-44.19,217.31,2414.12,0.3,8.84,0.51
78.63,-44.68,217.93,2410.73,0.29,8.95,0.71
51.09,-52.28,195.65,2586.5,0.27,9.26,0.49
49.31,-61.2,195.65,2528.47,0.25,15.51,0.49
48.69,-65.19,195.65,2500.37,0.24,15.51,0.51
53.59,-68.76,195.55,2471.12,0.24,15.51,0.43
58.06,-70.34,195.45,2455.02,0.25,15.44,0.54
74.31,-73.92,195.45,2454.01,0.26,15.23,0.51
90.0,-76.9,195.45,2468.51,0.28,15.09,0.6
93.27,-82.28,195.45,2449.0,0.29,14.81,0.6
84.6,-86.14,195.45,2421.5,0.28,14.74,0.77
72.46,-88.52,195.45,2396.01,0.27,14.6,0.85
67.22,-89.7,195.45,2385.02,0.27,14.59,0.73
63.3,-90.9,195.45,2367.5,0.31,14.58,0.78
50.05,-90.9,195.65,2315.35,0.32,14.64,0.43
67.65,-74.0,195.45,2446.15,0.28,16.42,0.76
67.95,-77.1,195.45,2450.02,0.29,17.35,0.62
52.87,-85.35,195.45,2309.0,0.32,20.66,2.78
37.18,-87.22,195.45,2238.46,0.32,22.13,1.73
38.66,-84.23,195.45,2254.0,0.32,20.28,2.37
58.35,-72.48,195.45,2348.04,0.28,17.43,0.29
78.45,-60.8,195.45,2531.0,0.26,15.61,0.35
89.7,-52.97,195.45,2542.0,0.3,13.98,0.16
76.65,-56.24,195.45,2478.42,0.3,14.46,3.46
68.55,-63.3,195.25,2449.82,0.29,14.87,0.7
59.41,-70.1,195.45,2422.22,0.28,15.49,3.03
58.81,-76.73,195.45,2405.58,0.28,16.45,2.23
44.4,-78.91,195.25,2307.96,0.3,16.76,0.29
44.1,-81.0,195.25,2293.5,0.31,16.69,0.81
48.12,-84.0,195.25,2314.87,0.31,16.71,1.33
51.39,-86.8,195.65,2325.51,0.29,18.25,1.7
51.68,-86.2,195.45,2284.94,0.3,19.55,1.46
56.14,-78.91,195.85,2328.51,0.28,16.07,0.93
86.55,-64.8,195.85,2442.27,0.3,12.97,0.92
108.45,-61.3,198.23,2462.09,0.32,10.42,0.6
56.99,-64.5,200.46499999999997,2269.63,0.31,14.27,0.77
52.4,-64.95,200.46499999999997,2268.14,0.31,14.8,3.73
49.15,-64.95,200.46499999999997,2289.65,0.3,15.35,2.59
44.57,-63.75,200.46499999999997,2324.92,0.29,15.85,1.88
43.25,-63.0,200.46499999999997,2346.22,0.28,15.85,1.12
45.08,-60.75,200.46499999999997,2414.56,0.28,15.64,1.54
45.57,-60.9,200.46499999999997,2418.53,0.29,15.35,0.81
45.83,-61.2,200.46499999999997,2427.45,0.3,15.21,0.86
46.1,-61.8,200.46499999999997,2384.24,0.31,15.14,3.7
46.85,-62.55,200.46499999999997,2354.75,0.31,15.21,3.12
52.02,-63.3,200.46499999999997,2432.46,0.29,15.42,1.54
54.05,-64.35,200.46499999999997,2430.99,0.3,15.49,1.89
54.31,-66.0,200.46499999999997,2402.78,0.3,15.49,2.35
54.57,-67.35,200.46499999999997,2374.32,0.3,15.49,1.95
52.48,-68.55,200.46499999999997,2353.83,0.29,15.49,1.38
50.39,-68.85,200.46499999999997,2353.84,0.29,15.35,2.2
48.76,-68.85,200.46499999999997,2363.35,0.3,15.21,0.46
46.22,-65.25,200.46499999999997,2413.24,0.3,14.8,0.28
55.21,-56.96,200.46499999999997,2421.22,0.33,14.02,0.1
57.89,-55.73,200.46499999999997,2400.44,0.33,13.84,3.11
59.18,-55.72,200.46499999999997,2387.96,0.33,13.84,0.15
33.18,-7.29,204.88,2284.67,0.28,23.11,3.21
33.01,-7.31,203.13,2280.23,0.27,23.15,2.09
33.03,-7.11,202.88,2284.08,0.27,22.65,1.46
35.49,-8.38,205.13,2310.34,0.27,21.39,4.53
35.23,-11.53,199.63,2332.41,0.26,19.78,4.17
31.8,-12.17,199.33,2329.02,0.27,19.46,3.12
