UWI,FM_TOP,DEPTH,GR,SP,CALX,RHOB,DPSS,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
102081000505W400,LMNV,1112.1,46.32,-39.50,212.37,2378.71,0.17,0.31,4.24,4.24,5.89,,4
102081000505W400,LMNV,1112.2,46.90,-42.00,212.85,2378.71,0.17,0.31,4.61,4.65,6.44,,2
102081000505W400,LMNV,1112.6,55.67,-48.60,210.07,2405.00,0.14,0.36,6.26,6.38,7.16,,5
102081000505W400,LMNV,1112.7,56.26,-50.40,206.31,2425.50,0.14,0.35,6.59,6.84,7.20,,2
102081000505W400,SBRS,1115.2,56.96,-67.49,204.46,2312.50,0.23,0.25,14.71,19.37,19.28,,4
102081000505W400,SBRS,1115.3,48.10,-71.17,204.44,2269.50,0.24,0.25,15.69,21.24,24.72,,4
102081000505W400,SBRS,1115.6,30.89,-76.72,204.61,2203.03,0.27,0.26,18.76,27.61,52.09,,6
102081000505W400,SBRS,1115.8,49.52,-78.11,204.81,2201.01,0.27,0.27,21.14,29.05,69.92,,6
102081000505W400,SBRS,1115.9,49.51,-78.60,205.03,2201.01,0.27,0.28,21.93,29.32,68.66,,5
102081000505W400,SBRS,1116.1,44.55,-80.00,205.00,2222.22,0.26,0.28,22.55,29.05,50.92,,4
102081000505W400,SBRS,1116.3,40.10,-79.80,205.25,2237.88,0.25,0.27,21.33,28.39,39.10,,6
102081000505W400,SBRS,1116.5,43.07,-78.60,205.50,2262.50,0.23,0.25,19.02,25.53,34.41,,5
102081000505W400,SBRS,1116.7,43.66,-76.50,205.50,2296.50,0.21,0.24,16.07,22.55,30.00,,4
102081000505W400,SBRS,1116.9,42.03,-71.50,205.75,2337.00,0.19,0.24,14.47,19.46,23.83,,2
102081000505W400,SBRS,1117.1,52.80,-65.70,206.00,2378.22,0.17,0.25,13.39,15.35,19.46,,1
102081000505W400,SBRS,1117.4,55.65,-57.43,206.25,2434.50,0.13,0.26,11.84,12.97,13.57,,1
102081000505W400,LMNV,1112.1,46.32,-39.50,212.37,2378.71,0.17,0.31,4.24,4.24,5.89,,4
102081000505W400,LMNV,1112.2,46.90,-42.00,212.85,2378.71,0.17,0.31,4.61,4.65,6.44,,2
102081000505W400,LMNV,1112.6,55.67,-48.60,210.07,2405.00,0.14,0.36,6.26,6.38,7.16,,5
102081000505W400,LMNV,1112.7,56.26,-50.40,206.31,2425.50,0.14,0.35,6.59,6.84,7.20,,2
