GR,SP,RHOB,DPSS ,NPSS,ILD,ILM,SFL,Binned_FZI_PS
46.32,-39.50,2378.71,0.17,0.31,4.24,4.24,5.89,4
46.90,-42.00,2378.71,0.17,0.31,4.61,4.65,6.44,2
55.67,-48.60,2405.00,0.14,0.36,6.26,6.38,7.16,5
56.26,-50.40,2425.50,0.14,0.35,6.59,6.84,7.20,2
56.96,-67.49,2312.50,0.23,0.25,14.71,19.37,19.28,4
48.10,-71.17,2269.50,0.24,0.25,15.69,21.24,24.72,4
30.89,-76.72,2203.03,0.27,0.26,18.76,27.61,52.09,6
49.52,-78.11,2201.01,0.27,0.27,21.14,29.05,69.92,6
49.51,-78.60,2201.01,0.27,0.28,21.93,29.32,68.66,5
44.55,-80.00,2222.22,0.26,0.28,22.55,29.05,50.92,4
40.10,-79.80,2237.88,0.25,0.27,21.33,28.39,39.10,6
43.07,-78.60,2262.50,0.23,0.25,19.02,25.53,34.41,5
43.66,-76.50,2296.50,0.21,0.24,16.07,22.55,30.00,4
42.03,-71.50,2337.00,0.19,0.24,14.47,19.46,23.83,2
52.80,-65.70,2378.22,0.17,0.25,13.39,15.35,19.46,1
55.65,-57.43,2434.50,0.13,0.26,11.84,12.97,13.57,1
46.32,-39.50,2378.71,0.17,0.31,4.24,4.24,5.89,4
46.90,-42.00,2378.71,0.17,0.31,4.61,4.65,6.44,2
55.67,-48.60,2405.00,0.14,0.36,6.26,6.38,7.16,5
56.26,-50.40,2425.50,0.14,0.35,6.59,6.84,7.20,2
56.96,-67.49,2312.50,0.23,0.25,14.71,19.37,19.28,4
48.10,-71.17,2269.50,0.24,0.25,15.69,21.24,24.72,4
30.89,-76.72,2203.03,0.27,0.26,18.76,27.61,52.09,6
49.52,-78.11,2201.01,0.27,0.27,21.14,29.05,69.92,6
49.51,-78.60,2201.01,0.27,0.28,21.93,29.32,68.66,5
44.55,-80.00,2222.22,0.26,0.28,22.55,29.05,50.92,4
40.10,-79.80,2237.88,0.25,0.27,21.33,28.39,39.10,6
43.07,-78.60,2262.50,0.23,0.25,19.02,25.53,34.41,5
43.66,-76.50,2296.50,0.21,0.24,16.07,22.55,30.00,4
42.03,-71.50,2337.00,0.19,0.24,14.47,19.46,23.83,2
52.80,-65.70,2378.22,0.17,0.25,13.39,15.35,19.46,1
55.65,-57.43,2434.50,0.13,0.26,11.84,12.97,13.57,1
59.03,-39.86,2502.74,0.09,0.29,9.35,9.94,8.73,4
54.23,-40.48,2491.74,0.09,0.30,10.51,11.03,9.86,5
56.35,-40.31,2499.96,0.10,0.30,11.33,11.70,9.65,4
62.43,-40.37,2515.93,0.09,0.30,12.23,12.60,10.41,4
66.65,-41.40,2547.60,0.07,0.29,13.14,13.61,11.43,6
67.29,-43.36,2549.93,0.06,0.28,14.41,14.90,12.11,4
62.12,-52.23,2492.14,0.09,0.27,18.77,19.93,14.53,6
54.43,-63.21,2443.54,0.11,0.26,22.27,24.73,21.23,4
48.62,-68.83,2418.17,0.13,0.25,24.04,26.41,26.64,3
44.15,-73.32,2408.71,0.14,0.26,26.40,27.14,25.87,5
53.99,-69.44,2417.54,0.14,0.29,25.35,25.01,20.18,6
53.88,-66.92,2426.63,0.14,0.29,23.09,23.37,20.52,6
53.47,-65.18,2451.71,0.13,0.26,21.77,22.30,20.13,4
55.20,-62.33,2466.28,0.11,0.26,19.70,19.74,18.19,4
62.97,-64.91,2444.15,0.12,0.26,17.57,17.48,15.47,3
58.47,-69.27,2418.66,0.13,0.26,16.84,16.99,15.61,3
54.96,-70.33,2410.06,0.14,0.26,16.75,17.02,15.90,4
56.16,-67.48,2405.41,0.15,0.26,17.09,17.54,16.05,4
53.60,-63.54,2401.92,0.15,0.27,17.36,17.88,16.31,4
51.48,-58.02,2415.89,0.14,0.28,17.03,17.21,16.49,6
54.53,-54.59,2421.25,0.14,0.28,16.09,15.79,14.58,4
62.83,-52.41,2407.47,0.15,0.28,15.11,15.02,13.75,4
68.12,-52.57,2398.44,0.16,0.27,14.55,14.69,13.73,4
74.63,-55.62,2393.70,0.15,0.29,13.77,13.67,13.10,4
94.07,-52.65,2396.54,0.15,0.29,13.55,13.63,12.94,3
98.77,-50.93,2406.97,0.15,0.28,13.27,13.42,13.42,4
81.86,-47.16,2399.26,0.15,0.28,12.94,12.85,12.64,3
75.98,-45.55,2380.21,0.16,0.31,12.46,12.42,11.70,4
76.75,-47.71,2378.95,0.16,0.30,12.07,12.28,11.86,4
77.70,-48.63,2385.11,0.16,0.29,11.79,11.97,12.17,3
77.67,-45.12,2397.26,0.15,0.30,11.16,11.12,11.09,3
76.83,-43.08,2389.96,0.15,0.30,10.46,10.41,10.76,3
78.54,-41.98,2385.51,0.16,0.29,9.98,9.94,10.31,4
83.92,-41.76,2391.55,0.16,0.31,9.84,9.79,10.08,4
81.89,-43.13,2398.21,0.15,0.28,10.07,10.30,10.09,3
72.61,-48.38,2395.19,0.15,0.29,10.60,10.96,11.42,4
72.83,-48.03,2390.61,0.16,0.28,10.65,10.69,11.26,5
79.24,-45.99,2384.99,0.16,0.28,10.32,10.09,10.34,2
83.40,-44.34,2385.81,0.15,0.28,10.02,9.90,9.46,4
81.41,-44.66,2394.65,0.15,0.31,9.78,9.88,9.89,3
81.84,-44.95,2405.28,0.15,0.28,9.76,10.05,10.21,3
82.43,-45.82,2405.67,0.15,0.28,9.80,10.07,10.45,3
78.92,-45.39,2409.14,0.14,0.29,9.64,9.76,10.44,3
81.03,-43.27,2402.54,0.15,0.29,9.32,9.38,9.79,4
84.24,-41.26,2403.78,0.15,0.30,8.84,8.77,9.35,4
85.22,-41.00,2411.05,0.15,0.30,8.72,8.75,8.60,1
85.72,-42.16,2418.69,0.14,0.30,8.75,8.89,8.95,1
82.53,-44.19,2414.12,0.14,0.30,8.84,9.16,9.77,2
78.63,-44.68,2410.73,0.14,0.29,8.95,9.24,9.68,2
51.09,-52.28,2586.50,0.04,0.27,9.26,11.33,19.54,1
49.31,-61.20,2528.47,0.07,0.25,15.51,16.55,21.91,1
48.69,-65.19,2500.37,0.09,0.24,15.51,17.98,21.61,2
53.59,-68.76,2471.12,0.11,0.24,15.51,17.09,19.10,1
58.06,-70.34,2455.02,0.11,0.25,15.44,17.01,16.40,2
74.31,-73.92,2454.01,0.12,0.26,15.23,17.01,13.26,2
90.00,-76.90,2468.51,0.11,0.28,15.09,16.86,13.07,2
93.27,-82.28,2449.00,0.12,0.29,14.81,16.32,16.55,2
84.60,-86.14,2421.50,0.13,0.28,14.74,16.10,17.90,2
72.46,-88.52,2396.01,0.15,0.27,14.60,15.87,18.22,2
67.22,-89.70,2385.02,0.16,0.27,14.59,15.71,17.47,2
63.30,-90.90,2367.50,0.17,0.31,14.58,15.62,16.51,2
50.05,-90.90,2315.35,0.20,0.32,14.64,15.61,18.08,1
67.65,-74.00,2446.15,0.12,0.28,16.42,17.67,14.71,2
67.95,-77.10,2450.02,0.12,0.29,17.35,19.02,18.58,2
52.87,-85.35,2309.00,0.20,0.32,20.66,22.03,26.01,4
37.18,-87.22,2238.46,0.25,0.32,22.13,24.72,25.07,3
38.66,-84.23,2254.00,0.24,0.32,20.28,22.65,27.11,4
58.35,-72.48,2348.04,0.18,0.28,17.43,18.16,18.41,1
78.45,-60.80,2531.00,0.08,0.26,15.61,15.83,12.24,1
89.70,-52.97,2542.00,0.06,0.30,13.98,14.37,11.59,1
76.65,-56.24,2478.42,0.11,0.30,14.46,15.63,15.41,4
68.55,-63.30,2449.82,0.12,0.29,14.87,16.14,19.64,2
59.41,-70.10,2422.22,0.14,0.28,15.49,16.74,19.02,4
58.81,-76.73,2405.58,0.15,0.28,16.45,17.21,17.69,4
