GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
59.034,-39.864,227.51,2502.735,0.29,9.349,9.943,8.727,256.097,4
54.231,-40.476,224.3,2491.735,0.295,10.505,11.026,9.863,258.391,5
56.349,-40.314,224.065,2499.96,0.295,11.328,11.698,9.654,262.037,4
62.433,-40.374,224.665,2515.932,0.296,12.226,12.601,10.405,262.635,4
66.654,-41.398,224.26,2547.6,0.29,13.144,13.612,11.427,262.435,6
67.29,-43.36,223.72,2549.932,0.283,14.413,14.904,12.112,263.525,4
62.121,-52.232,222.31,2492.137,0.265,18.768,19.934,14.532,257.48,6
54.432,-63.206,220.085,2443.535,0.261,22.265,24.732,21.228,250.89,4
48.624,-68.834,218.595,2418.169,0.254,24.042,26.407,26.64,254.135,3
44.151,-73.324,217.095,2408.708,0.255,26.4,27.139,25.874,269.496,5
53.994,-69.442,217.685,2417.542,0.287,25.348,25.009,20.178,283.623,6
53.88,-66.92,213.925,2426.627,0.287,23.09,23.368,20.522,286.447,6
53.466,-65.18,212.395,2451.709,0.258,21.77,22.298,20.13,284.806,4
55.197,-62.332,216.37,2466.277,0.259,19.698,19.739,18.191,281.347,4
62.967,-64.908,218.24,2444.145,0.261,17.565,17.481,15.465,278.575,3
58.47,-69.27,219.075,2418.662,0.255,16.836,16.991,15.611,282.01,3
54.957,-70.332,218.985,2410.062,0.26,16.749,17.02,15.896,283.814,4
56.157,-67.484,218.02,2405.406,0.262,17.092,17.535,16.045,286.301,4
53.604,-63.544,217.7,2401.921,0.268,17.355,17.878,16.308,287.497,4
51.477,-58.016,217.43,2415.887,0.275,17.027,17.212,16.486,289.834,6
54.528,-54.59,219.03,2421.245,0.275,16.093,15.788,14.583,288.473,4
62.826,-52.412,220.75,2407.471,0.28,15.105,15.024,13.749,288.202,4
68.118,-52.572,219.94,2398.444,0.271,14.548,14.685,13.73,292.768,4
74.631,-55.618,217.635,2393.697,0.293,13.77,13.674,13.098,300.943,4
94.068,-52.652,218.22,2396.538,0.291,13.552,13.627,12.942,298.454,3
98.772,-50.934,218.37,2406.969,0.277,13.273,13.415,13.42,295.725,4
81.861,-47.16,219.41,2399.255,0.284,12.944,12.854,12.644,297.165,3
75.981,-45.554,219.895,2380.207,0.305,12.458,12.423,11.701,301.361,4
76.746,-47.714,217.96,2378.953,0.296,12.073,12.275,11.862,303.318,4
77.697,-48.632,216.68,2385.105,0.286,11.788,11.97,12.165,303.466,3
77.673,-45.116,218.535,2397.257,0.301,11.161,11.116,11.085,304.244,3
76.827,-43.078,218.29,2389.961,0.302,10.456,10.412,10.761,305.395,3
78.54,-41.98,218.575,2385.506,0.293,9.98,9.936,10.308,310.135,4
83.919,-41.76,219.055,2391.549,0.305,9.839,9.788,10.08,312.326,4
81.891,-43.134,219.295,2398.21,0.282,10.069,10.298,10.094,307.771,3
72.609,-48.382,218.58,2395.193,0.285,10.597,10.956,11.418,303.084,4
72.834,-48.034,217.235,2390.613,0.276,10.648,10.69,11.255,306.191,5
79.236,-45.994,216.175,2384.988,0.281,10.318,10.089,10.335,311.233,2
83.403,-44.338,215.88,2385.807,0.281,10.022,9.895,9.462,313.363,4
81.405,-44.66,215.845,2394.65,0.307,9.778,9.879,9.885,311.901,3
81.84,-44.95,217.025,2405.281,0.283,9.76,10.051,10.21,307.829,3
82.434,-45.816,217.28,2405.665,0.275,9.796,10.07,10.454,304.929,3
78.915,-45.39,217.395,2409.142,0.286,9.635,9.756,10.444,304.507,3
81.03,-43.27,217.91,2402.539,0.286,9.316,9.383,9.791,307.085,4
84.243,-41.256,218.2,2403.776,0.3,8.839,8.772,9.345,312.274,4
85.221,-41.002,218.32,2411.048,0.295,8.722,8.745,8.601,316.096,1
85.719,-42.164,218.015,2418.687,0.302,8.746,8.886,8.946,312.787,1
82.53,-44.19,217.305,2414.115,0.302,8.836,9.162,9.772,308.953,2
78.63,-44.68,217.925,2410.73,0.293,8.95,9.235,9.679,310.301,2
33.178,-7.29,204.875,2284.665,0.28,23.112,29.313,24.29,291.835,4
33.005,-7.31,203.125,2280.23,0.274,23.154,27.86,24.312,292.385,4
33.034,-7.11,202.875,2284.08,0.27,22.648,26.886,23.112,292.407,3
35.492,-8.38,205.125,2310.341,0.272,21.391,22.457,20.428,284.782,5
35.234,-11.53,199.625,2332.41,0.262,19.78,19.795,18.579,281.193,5
31.804,-12.17,199.325,2329.016,0.267,19.455,19.415,18.699,284.338,4
28.721,-11.44,199.425,2315.655,0.278,18.96,19.083,19.509,290.432,5
33.436,-9.465,198.512,2290.375,0.278,20.093,20.091,19.429,303.41,5
35.786,-11.81,196.675,2261.767,0.283,20.866,20.999,20.316,311.301,4
